Week,Day,Date,Time,Boxscore,Outcome,OT,Rec,Home/Away,Opp,Tm,OppPts,1stD,TotYd,PassY,RushY,TO_lost,Opp1stD,OppTotYd,OppPassY,OppRushY,TO_won,Offense,Defense,Sp. Tms
1,Fri,September 6,8:15PM ET,boxscore,W,,1-0,,Green Bay Packers,34,29,25,410,266,144,3,19,414,251,163,1,11.27,-10.53,4.39
2,Mon,September 16,8:15PM ET,boxscore,L,,1-1,,Atlanta Falcons,21,22,22,365,179,186,1,22,385,233,152,,7.13,-8.72,1.28
3,Sun,September 22,1:00PM ET,boxscore,W,,2-1,@,New Orleans Saints,15,12,20,460,288,172,2,12,219,130,89,1,3.12,8.47,-8.68
4,Sun,September 29,1:00PM ET,boxscore,L,,2-2,@,Tampa Bay Buccaneers,16,33,16,227,114,113,2,29,445,334,111,,-4.13,-21.36,1.43
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,October 13,1:00PM ET,boxscore,W,,3-2,,Cleveland Browns,20,16,19,372,256,116,,14,244,144,100,,10.40,4.19,-7.89
7,Sun,October 20,1:00PM ET,boxscore,W,,4-2,@,New York Giants,28,3,20,339,70,269,,10,119,43,76,,6.49,19.97,-2.06
8,Sun,October 27,1:00PM ET,boxscore,W,,5-2,@,Cincinnati Bengals,37,17,24,397,236,161,,18,280,222,58,2,20.95,-5.05,3.99
9,Sun,November 3,4:05PM ET,boxscore,W,,6-2,,Jacksonville Jaguars,28,23,21,447,210,237,1,14,215,155,60,3,-3.71,7.21,0.00
10,Sun,November 10,4:25PM ET,boxscore,W,,7-2,@,Dallas Cowboys,34,6,24,348,161,187,2,11,146,49,97,5,6.18,31.22,-7.13
11,Thu,November 14,8:15PM ET,boxscore,W,,8-2,,Washington Commanders,26,18,23,434,206,228,,18,264,171,93,1,17.00,2.93,-9.28
12,Sun,November 24,8:20PM ET,boxscore,W,,9-2,@,Los Angeles Rams,37,20,24,481,167,314,,23,290,198,92,1,23.71,-5.78,-0.13
13,Sun,December 1,4:25PM ET,boxscore,W,,10-2,@,Baltimore Ravens,24,19,17,252,112,140,,24,372,206,166,,3.39,-4.59,8.57
14,Sun,December 8,1:00PM ET,boxscore,W,,11-2,,Carolina Panthers,22,16,18,292,83,209,,20,302,184,118,1,9.76,-0.46,-1.25
15,Sun,December 15,4:25PM ET,boxscore,W,,12-2,,Pittsburgh Steelers,27,13,26,401,270,131,2,10,163,107,56,1,11.49,10.72,-5.74
16,Sun,December 22,1:00PM ET,preview,,,,@,Washington Commanders,0,,,,,,,,,,,,,,
17,Sun,December 29,4:25PM ET,preview,,,,,Dallas Cowboys,0,,,,,,,,,,,,,,
18,Sun,January 5,1:00PM ET,preview,,,,,New York Giants,0,,,,,,,,,,,,,,
