Week,Day,Date,Time,Boxscore,Outcome,OT,Rec,Home/Away,Opp,Tm,OppPts,1stD,TotYd,PassY,RushY,TO_lost,Opp1stD,OppTotYd,OppPassY,OppRushY,TO_won,Offense,Defense,Sp. Tms
1,Sun,September 7,4:05PM ET,boxscore,W,,1-0,,Tennessee Titans,20,12,20,317,166,151,4,7,133,62,71,2,-8.07,27.39,-8.09
2,Sun,September 14,4:05PM ET,boxscore,L,,1-1,@,Indianapolis Colts,28,29,23,324,206,118,1,26,473,306,167,,15.48,-15.36,-0.41
3,Sun,September 21,4:05PM ET,boxscore,L,,1-2,@,Los Angeles Chargers,20,23,9,265,147,118,,29,376,270,106,2,-2.59,-8.72,7.85
4,Mon,September 29,8:15PM ET,boxscore,W,,2-2,,Cincinnati Bengals,28,3,29,512,326,186,1,9,159,106,53,,19.98,10.95,-7.30
5,Sun,October 5,1:00PM ET,boxscore,W,,3-2,@,Philadelphia Eagles,21,17,23,358,228,130,,16,302,257,45,,4.25,-4.33,1.52
6,Sun,October 12,9:30AM ET,boxscore,W,,4-2,@,New York Jets,13,11,12,246,168,78,1,8,82,-10,92,,-9.34,23.40,-10.64
7,Sun,October 19,4:05PM ET,preview,,,,,New York Giants,,,,,,,,,,,,,,,
8,Sun,October 26,4:25PM ET,preview,,,,,Dallas Cowboys,,,,,,,,,,,,,,,
9,Sun,November 2,1:00PM ET,preview,,,,@,Houston Texans,,,,,,,,,,,,,,,
10,Thu,November 6,8:15PM ET,preview,,,,,Las Vegas Raiders,,,,,,,,,,,,,,,
11,Sun,November 16,4:25PM ET,preview,,,,,Kansas City Chiefs,,,,,,,,,,,,,,,
12,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
13,Sun,November 30,8:20PM ET,preview,,,,@,Washington Commanders,,,,,,,,,,,,,,,
14,Sun,December 7,4:05PM ET,preview,,,,@,Las Vegas Raiders,,,,,,,,,,,,,,,
15,Sun,December 14,4:25PM ET,preview,,,,,Green Bay Packers,,,,,,,,,,,,,,,
16,Sun,December 21,4:05PM ET,preview,,,,,Jacksonville Jaguars,,,,,,,,,,,,,,,
17,Thu,December 25,8:15PM ET,preview,,,,@,Kansas City Chiefs,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,Los Angeles Chargers,,,,,,,,,,,,,,,
