Week,Day,Date,Time,Boxscore,Outcome,OT,Rec,Home/Away,Opp,Tm,OppPts,1stD,TotYd,PassY,RushY,TO_lost,Opp1stD,OppTotYd,OppPassY,OppRushY,TO_won,Offense,Defense,Sp. Tms
1,Fri,September 6,8:15PM ET,boxscore,L,,0-1,@,Philadelphia Eagles,29,34,19,414,251,163,1,25,410,266,144,3,10.53,-11.27,-4.39
2,Sun,September 15,1:00PM ET,boxscore,W,,1-1,,Indianapolis Colts,16,10,19,383,122,261,1,19,338,198,140,3,3.59,1.85,1.56
3,Sun,September 22,1:00PM ET,boxscore,W,,2-1,@,Tennessee Titans,30,14,16,378,190,188,,18,237,204,33,3,4.57,9.81,-0.24
4,Sun,September 29,1:00PM ET,boxscore,L,,2-2,,Minnesota Vikings,29,31,24,465,379,86,4,22,374,254,120,3,-4.43,-0.52,1.45
5,Sun,October 6,4:25PM ET,boxscore,W,,3-2,@,Los Angeles Rams,24,19,19,328,202,126,1,24,370,236,134,2,2.84,0.39,2.74
6,Sun,October 13,1:00PM ET,boxscore,W,,4-2,,Arizona Cardinals,34,13,27,437,258,179,1,16,303,214,89,3,22.31,6.86,-3.96
7,Sun,October 20,1:00PM ET,boxscore,W,,5-2,,Houston Texans,24,22,18,277,195,82,3,15,197,55,142,,3.05,6.39,-5.98
8,Sun,October 27,1:00PM ET,boxscore,W,,6-2,@,Jacksonville Jaguars,30,27,22,422,252,170,1,19,390,299,91,2,10.14,-5.42,-1.46
9,Sun,November 3,4:25PM ET,boxscore,L,,6-3,,Detroit Lions,14,24,20,411,273,138,1,17,261,137,124,,3.70,-6.20,-6.04
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 17,1:00PM ET,boxscore,W,,7-3,@,Chicago Bears,20,19,19,366,260,106,1,23,391,212,179,,13.66,-16.11,2.17
12,Sun,November 24,4:25PM ET,boxscore,W,,8-3,,San Francisco 49ers,38,10,22,325,156,169,,11,241,197,44,3,12.20,19.42,-2.13
13,Thu,November 28,8:20PM ET,boxscore,W,,9-3,,Miami Dolphins,30,17,19,388,274,114,,21,375,336,39,1,14.75,-1.74,2.71
14,Thu,December 5,8:15PM ET,boxscore,L,,9-4,@,Detroit Lions,31,34,17,298,199,99,1,27,391,280,111,1,11.75,-13.69,-0.80
15,Sun,December 15,8:20PM ET,boxscore,W,,10-4,@,Seattle Seahawks,30,13,21,369,229,140,1,14,208,128,80,2,11.94,13.45,-9.51
16,Mon,December 23,8:15PM ET,preview,,,,,New Orleans Saints,0,,,,,,,,,,,,,,
17,Sun,December 29,1:00PM ET,preview,,,,@,Minnesota Vikings,0,,,,,,,,,,,,,,
18,Sun,January 5,1:00PM ET,preview,,,,,Chicago Bears,0,,,,,,,,,,,,,,
