Week,Day,Date,Time,Boxscore,Outcome,OT,Rec,Home/Away,Opp,Tm,OppPts,1stD,TotYd,PassY,RushY,TO_lost,Opp1stD,OppTotYd,OppPassY,OppRushY,TO_won,Offense,Defense,Sp. Tms
1,Sun,September 13,4:25PM ET,boxscore,W,,1-0,@,San Francisco 49ers,24,20,29,404,224,180,1,18,366,243,123,,6.46,-3.88,-0.46
2,Sun,September 20,4:05PM ET,boxscore,W,,2-0,,Washington Football Team,30,15,22,438,278,160,1,19,316,199,117,2,8.92,0.18,6.91
3,Sun,September 27,4:25PM ET,boxscore,L,,2-1,,Detroit Lions,23,26,28,377,268,109,3,22,322,232,90,,8.07,-8.15,-2.46
4,Sun,October 4,1:00PM ET,boxscore,L,,2-2,@,Carolina Panthers,21,31,21,262,133,129,1,30,444,276,168,1,8.53,-23.36,3.47
5,Sun,October 11,1:00PM ET,boxscore,W,,3-2,@,New York Jets,30,10,28,496,369,127,1,21,285,162,123,,17.20,4.27,-3.61
6,Mon,October 19,8:15PM ET,boxscore,W,,4-2,@,Dallas Cowboys,38,10,22,438,177,261,,27,344,247,97,4,23.56,3.91,-0.53
7,Sun,October 25,8:20PM ET,boxscore,W,OT,5-2,,Seattle Seahawks,37,34,31,519,360,159,2,33,572,372,200,3,13.97,-11.75,0.78
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,November 8,4:25PM ET,boxscore,L,,5-3,,Miami Dolphins,31,34,26,442,264,178,1,24,312,221,91,,17.94,-15.28,-6.36
10,Sun,November 15,4:05PM ET,boxscore,W,,6-3,,Buffalo Bills,32,30,26,453,236,217,2,22,369,296,73,2,8.17,-3.67,-4.77
11,Thu,November 19,8:20PM ET,boxscore,L,,6-4,@,Seattle Seahawks,21,28,24,314,257,57,,22,347,182,165,,8.96,-16.03,-0.39
12,Sun,November 29,1:00PM ET,boxscore,L,,6-5,@,New England Patriots,17,20,23,298,160,138,1,16,179,69,110,2,0.00,4.68,-9.06
13,Sun,December 6,4:05PM ET,boxscore,L,,6-6,,Los Angeles Rams,28,38,18,232,140,92,2,30,463,344,119,1,-0.60,-18.92,6.43
14,Sun,December 13,1:00PM ET,boxscore,W,,7-6,@,New York Giants,26,7,22,390,231,159,,10,159,81,78,3,1.35,18.89,1.81
15,Sun,December 20,4:05PM ET,boxscore,W,,8-6,,Philadelphia Eagles,33,26,26,526,423,103,3,26,422,305,117,,4.72,-10.01,12.58
16,Sat,December 26,4:30PM ET,boxscore,L,,8-7,,San Francisco 49ers,12,20,20,350,230,120,2,22,398,171,227,1,-10.15,-9.69,10.68
17,Sun,January 3,4:25PM ET,boxscore,L,,8-8,@,Los Angeles Rams,7,18,15,214,166,48,1,21,333,223,110,2,-13.48,6.77,-2.44
