Week,Day,Date,Time,Boxscore,Outcome,OT,Rec,Home/Away,Opp,Tm,OppPts,1stD,TotYd,PassY,RushY,TO_lost,Opp1stD,OppTotYd,OppPassY,OppRushY,TO_won,Offense,Defense,Sp. Tms
1,Sun,September 7,4:05PM ET,boxscore,L,,0-1,,San Francisco 49ers,13,17,14,230,146,84,2,24,384,265,119,2,-4.44,-9.55,10.25
2,Sun,September 14,1:00PM ET,boxscore,W,,1-1,@,Pittsburgh Steelers,31,17,21,395,278,117,2,13,267,195,72,2,4.96,8.08,1.94
3,Sun,September 21,4:05PM ET,boxscore,W,,2-1,,New Orleans Saints,44,13,22,320,233,87,1,21,284,205,79,1,11.28,4.16,16.41
4,Thu,September 25,8:15PM ET,boxscore,W,,3-1,@,Arizona Cardinals,23,20,20,384,229,155,1,18,253,164,89,2,10.15,0.23,-6.60
5,Sun,October 5,4:05PM ET,boxscore,L,,3-2,,Tampa Bay Buccaneers,35,38,27,463,341,122,2,25,426,370,56,,23.95,-25.29,-1.93
6,Sun,October 12,1:00PM ET,boxscore,W,,4-2,@,Jacksonville Jaguars,20,12,13,346,286,60,,17,273,214,59,,-1.90,1.71,11.41
7,Mon,October 20,10:00PM ET,boxscore,W,,5-2,,Houston Texans,27,19,19,316,198,118,4,18,254,198,56,1,-9.45,20.78,-1.63
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,November 2,8:20PM ET,boxscore,,,,@,Washington Commanders,,,,,,,,,,,,,,,
10,Sun,November 9,4:05PM ET,preview,,,,,Arizona Cardinals,,,,,,,,,,,,,,,
11,Sun,November 16,4:05PM ET,preview,,,,@,Los Angeles Rams,,,,,,,,,,,,,,,
12,Sun,November 23,1:00PM ET,preview,,,,@,Tennessee Titans,,,,,,,,,,,,,,,
13,Sun,November 30,4:05PM ET,preview,,,,,Minnesota Vikings,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,@,Atlanta Falcons,,,,,,,,,,,,,,,
15,Sun,December 14,4:25PM ET,preview,,,,,Indianapolis Colts,,,,,,,,,,,,,,,
16,Thu,December 18,8:15PM ET,preview,,,,,Los Angeles Rams,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,@,Carolina Panthers,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,@,San Francisco 49ers,,,,,,,,,,,,,,,
