Week,Day,Date,Time,Boxscore,Outcome,OT,Rec,Home/Away,Opp,Tm,OppPts,1stD,TotYd,PassY,RushY,TO_lost,Opp1stD,OppTotYd,OppPassY,OppRushY,TO_won,Offense,Defense,Sp. Tms
1,Mon,September 12,10:26PM ET,boxscore,W,,1-0,@,Denver Broncos,23,20,20,289,99,190,1,25,310,272,38,3,-4.13,3.29,3.65
2,Sun,September 18,1:03PM ET,boxscore,L,,1-1,@,Buffalo Bills,35,38,26,454,323,131,2,34,481,258,223,1,23.69,-29.88,2.38
3,Sun,September 25,4:04PM ET,boxscore,W,,2-1,,New York Jets,34,24,23,383,149,234,,25,439,339,100,2,14.35,-7.97,2.20
4,Sun,October 2,4:15PM ET,boxscore,L,,2-2,,New England Patriots,19,31,24,504,344,160,2,25,409,226,183,,9.46,-18.64,-4.46
5,Sun,October 9,1:02PM ET,boxscore,W,,3-2,@,Houston Texans,25,20,11,278,184,94,1,21,473,403,70,2,-9.36,1.67,14.08
6,Sun,October 16,4:05PM ET,boxscore,W,,4-2,,Cleveland Browns,24,17,18,329,178,151,1,18,268,203,65,1,3.00,6.20,-1.56
7,Sun,October 23,7:05PM ET,boxscore,L,,4-3,,Kansas City Chiefs,0,28,18,322,167,155,6,22,300,161,139,2,-31.95,-1.84,2.69
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,November 6,4:05PM ET,boxscore,L,,4-4,,Denver Broncos,24,38,21,416,316,100,3,20,412,113,299,,3.37,-10.10,-4.92
10,Thu,November 10,8:29PM ET,boxscore,W,,5-4,@,San Diego Chargers,24,17,20,489,298,191,2,20,314,239,75,2,11.33,1.30,-6.36
11,Sun,November 20,1:05PM ET,boxscore,W,,6-4,@,Minnesota Vikings,27,21,22,301,139,162,1,20,311,187,124,5,-0.73,5.73,0.87
12,Sun,November 27,4:05PM ET,boxscore,W,,7-4,,Chicago Bears,25,20,17,341,268,73,1,18,401,229,172,3,-4.68,6.89,0.07
13,Sun,December 4,1:03PM ET,boxscore,L,,7-5,@,Miami Dolphins,14,34,18,304,258,46,1,23,362,153,209,,-4.43,-13.16,-4.64
14,Sun,December 11,4:15PM ET,boxscore,L,,7-6,@,Green Bay Packers,16,46,23,357,240,117,5,22,391,255,136,1,-15.21,-13.68,-1.00
15,Sun,December 18,4:05PM ET,boxscore,L,,7-7,,Detroit Lions,27,28,26,477,345,132,1,25,432,375,57,1,10.54,-10.93,1.91
16,Sat,December 24,1:03PM ET,boxscore,W,OT,8-7,@,Kansas City Chiefs,16,13,13,308,237,71,2,26,435,300,135,2,-6.51,1.99,7.52
17,Sun,January 1,4:15PM ET,boxscore,L,,8-8,,San Diego Chargers,26,38,28,520,417,103,1,25,463,310,153,1,22.41,-27.62,-1.27
