Week,Day,Date,Time,Boxscore,Outcome,OT,Rec,Home/Away,Opp,Tm,OppPts,1stD,TotYd,PassY,RushY,TO_lost,Opp1stD,OppTotYd,OppPassY,OppRushY,TO_won,Offense,Defense,Sp. Tms
1,Sun,September 7,8:20PM ET,boxscore,L,,0-1,@,Buffalo Bills,40,41,19,432,194,238,1,29,497,389,108,,19.52,-21.93,3.41
2,Sun,September 14,1:00PM ET,boxscore,W,,1-1,,Cleveland Browns,41,17,14,242,197,45,,17,322,207,115,2,2.28,15.65,5.44
3,Mon,September 22,8:15PM ET,boxscore,L,,1-2,,Detroit Lions,30,38,21,318,233,85,1,24,426,202,224,,8.78,-23.46,1.18
4,Sun,September 28,4:25PM ET,boxscore,L,,1-3,@,Kansas City Chiefs,20,37,18,360,194,166,2,24,382,264,118,,0.78,-17.40,1.39
5,Sun,October 5,1:00PM ET,boxscore,L,,1-4,,Houston Texans,10,44,12,207,163,44,3,27,417,250,167,,-7.91,-24.84,-1.14
6,Sun,October 12,1:00PM ET,boxscore,L,,1-5,,Los Angeles Rams,3,17,19,296,117,179,3,15,241,167,74,1,-19.02,-0.43,4.19
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 26,1:00PM ET,preview,,,,,Chicago Bears,,,,,,,,,,,,,,,
9,Thu,October 30,8:15PM ET,preview,,,,@,Miami Dolphins,,,,,,,,,,,,,,,
10,Sun,November 9,1:00PM ET,preview,,,,@,Minnesota Vikings,,,,,,,,,,,,,,,
11,Sun,November 16,4:25PM ET,preview,,,,@,Cleveland Browns,,,,,,,,,,,,,,,
12,Sun,November 23,1:00PM ET,preview,,,,,New York Jets,,,,,,,,,,,,,,,
13,Thu,November 27,8:20PM ET,preview,,,,,Cincinnati Bengals,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,,Pittsburgh Steelers,,,,,,,,,,,,,,,
15,Sun,December 14,1:00PM ET,preview,,,,@,Cincinnati Bengals,,,,,,,,,,,,,,,
16,Sun,December 21,1:00PM ET,preview,,,,,New England Patriots,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,@,Green Bay Packers,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,@,Pittsburgh Steelers,,,,,,,,,,,,,,,
