Week,Day,Date,Time,Boxscore,Outcome,OT,Rec,Home/Away,Opp,Tm,OppPts,1stD,TotYd,PassY,RushY,TO_lost,Opp1stD,OppTotYd,OppPassY,OppRushY,TO_won,Offense,Defense,Sp. Tms
1,Sun,September 11,1:06PM ET,boxscore,W,,1-0,,Atlanta Falcons,30,12,17,377,289,88,1,25,386,276,110,3,-3.29,12.68,3.96
2,Sun,September 18,1:02PM ET,boxscore,L,,1-1,@,New Orleans Saints,13,30,18,246,186,60,1,16,382,264,118,1,-12.91,-6.00,-0.55
3,Sun,September 25,4:15PM ET,boxscore,L,,1-2,,Green Bay Packers,17,27,12,291,278,13,2,24,392,292,100,2,-9.17,-1.23,1.42
4,Sun,October 2,1:04PM ET,boxscore,W,,2-2,,Carolina Panthers,34,29,15,317,93,224,1,24,543,374,169,1,5.94,-10.03,12.63
5,Mon,October 10,8:40PM ET,boxscore,L,,2-3,@,Detroit Lions,13,24,23,359,237,122,,16,395,214,181,1,4.08,-15.11,4.05
6,Sun,October 16,8:30PM ET,boxscore,W,,3-3,,Minnesota Vikings,39,10,22,377,258,119,1,15,286,233,53,,9.90,7.93,11.68
7,Sun,October 23,1:05PM ET,boxscore,W,,4-3,@,Tampa Bay Buccaneers,24,18,19,395,218,177,2,16,280,250,30,4,-1.32,18.93,-10.02
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Mon,November 7,8:41PM ET,boxscore,W,,5-3,@,Philadelphia Eagles,30,24,22,372,208,164,2,20,330,211,119,2,3.72,-2.71,2.93
10,Sun,November 13,4:16PM ET,boxscore,W,,6-3,,Detroit Lions,37,13,12,216,107,109,1,22,393,313,80,6,-8.13,28.13,6.33
11,Sun,November 20,4:16PM ET,boxscore,W,,7-3,,San Diego Chargers,31,20,23,378,286,92,1,15,332,280,52,3,6.92,-0.53,3.08
12,Sun,November 27,4:05PM ET,boxscore,L,,7-4,@,Oakland Raiders,20,25,18,401,229,172,3,17,341,268,73,1,-6.89,4.68,-0.07
13,Sun,December 4,1:03PM ET,boxscore,L,,7-5,,Kansas City Chiefs,3,10,11,181,88,93,3,13,252,139,113,1,-25.79,11.36,7.43
14,Sun,December 11,4:05PM ET,boxscore,L,OT,7-6,@,Denver Broncos,10,13,12,245,86,159,1,22,345,221,124,2,-17.24,8.73,3.99
15,Sun,December 18,1:03PM ET,boxscore,L,,7-7,,Seattle Seahawks,14,38,13,221,89,132,5,18,286,226,60,1,-30.47,10.31,-3.04
16,Sun,December 25,8:30PM ET,boxscore,L,,7-8,@,Green Bay Packers,21,35,24,441,242,199,2,19,363,282,81,,10.54,-21.06,-6.03
17,Sun,January 1,1:05PM ET,boxscore,W,,8-8,@,Minnesota Vikings,17,13,10,209,117,92,3,16,301,222,79,3,-18.48,19.55,2.75
