Week,Day,Date,Time,Boxscore,Outcome,OT,Rec,Home/Away,Opp,Tm,OppPts,1stD,TotYd,PassY,RushY,TO_lost,Opp1stD,OppTotYd,OppPassY,OppRushY,TO_won,Offense,Defense,Sp. Tms
1,Sun,September 13,8:20PM ET,boxscore,L,,0-1,@,Los Angeles Rams,17,20,24,380,244,136,,23,422,269,153,1,3.18,-12.62,1.54
2,Sun,September 20,1:00PM ET,boxscore,W,,1-1,,Atlanta Falcons,40,39,33,570,445,125,3,22,380,267,113,,17.31,-13.66,-1.38
3,Sun,September 27,4:25PM ET,boxscore,L,,1-2,@,Seattle Seahawks,31,38,27,522,461,61,3,23,412,295,117,1,9.84,-11.85,-4.60
4,Sun,October 4,1:00PM ET,boxscore,L,,1-3,,Cleveland Browns,38,49,35,566,481,85,3,33,508,201,307,,19.85,-29.43,-1.81
5,Sun,October 11,4:25PM ET,boxscore,W,,2-3,,New York Giants,37,34,28,402,276,126,2,20,300,211,89,1,11.90,0.61,-7.75
6,Mon,October 19,8:15PM ET,boxscore,L,,2-4,,Arizona Cardinals,10,38,27,344,247,97,4,22,438,177,261,,-3.91,-23.56,0.53
7,Sun,October 25,1:00PM ET,boxscore,L,,2-5,@,Washington Football Team,3,25,12,142,59,83,1,21,397,189,208,,-14.88,-15.64,10.05
8,Sun,November 1,8:20PM ET,boxscore,L,,2-6,@,Philadelphia Eagles,9,23,21,265,132,133,2,18,222,103,119,4,-21.74,11.99,1.73
9,Sun,November 8,4:25PM ET,boxscore,L,,2-7,,Pittsburgh Steelers,19,24,19,364,220,144,2,20,355,309,46,,-3.09,-4.51,5.60
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 22,4:25PM ET,boxscore,W,,3-7,@,Minnesota Vikings,31,28,24,376,196,180,1,24,430,305,125,2,15.61,-9.00,-2.73
12,Thu,November 26,4:30PM ET,boxscore,L,,3-8,,Washington Football Team,16,41,13,247,187,60,2,22,338,156,182,1,-17.92,-8.38,-1.40
13,Tue,December 8,8:05PM ET,boxscore,L,,3-9,@,Baltimore Ravens,17,34,29,388,277,111,1,19,401,107,294,1,10.45,-19.50,-3.43
14,Sun,December 13,1:00PM ET,boxscore,W,,4-9,@,Cincinnati Bengals,30,7,16,272,171,101,,18,309,208,101,3,8.06,14.89,0.70
15,Sun,December 20,1:00PM ET,boxscore,W,,5-9,,San Francisco 49ers,41,33,15,291,204,87,,28,458,308,150,4,4.47,-11.28,12.91
16,Sun,December 27,4:25PM ET,boxscore,W,,6-9,,Philadelphia Eagles,37,17,22,513,362,151,1,24,477,326,151,3,23.40,-5.42,-0.38
17,Sun,January 3,1:00PM ET,boxscore,L,,6-10,@,New York Giants,19,23,26,307,199,108,1,22,336,211,125,2,-3.56,-4.34,4.88
