Week,Day,Date,Time,Boxscore,Outcome,OT,Rec,Home/Away,Opp,Tm,OppPts,1stD,TotYd,PassY,RushY,TO_lost,Opp1stD,OppTotYd,OppPassY,OppRushY,TO_won,Offense,Defense,Sp. Tms
1,Sun,September 13,4:05PM ET,boxscore,W,,1-0,@,Cincinnati Bengals,16,13,19,362,207,155,,19,295,173,122,2,-2.07,8.27,-3.54
2,Sun,September 20,4:25PM ET,boxscore,L,OT,1-1,,Kansas City Chiefs,20,23,28,479,296,183,1,23,414,289,125,,13.33,-10.92,-3.80
3,Sun,September 27,4:05PM ET,boxscore,L,,1-2,,Carolina Panthers,16,21,26,436,319,117,4,14,302,221,81,,-5.44,-1.18,0.62
4,Sun,October 4,1:00PM ET,boxscore,L,,1-3,@,Tampa Bay Buccaneers,31,38,15,324,278,46,2,28,484,369,115,1,5.88,-12.95,-0.20
5,Mon,October 12,8:15PM ET,boxscore,L,OT,1-4,@,New Orleans Saints,27,30,19,350,239,111,,23,408,313,95,1,6.80,-3.09,-7.44
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 25,4:25PM ET,boxscore,W,,2-4,,Jacksonville Jaguars,39,29,29,484,349,135,,15,294,154,140,1,20.27,2.30,-8.03
8,Sun,November 1,4:05PM ET,boxscore,L,,2-5,@,Denver Broncos,30,31,28,485,275,210,2,17,351,243,108,1,9.03,-8.64,-1.18
9,Sun,November 8,4:05PM ET,boxscore,L,,2-6,,Las Vegas Raiders,26,31,26,440,312,128,1,16,320,160,160,1,17.58,-11.13,-10.69
10,Sun,November 15,4:05PM ET,boxscore,L,,2-7,@,Miami Dolphins,21,29,19,273,174,99,1,17,280,169,111,1,-1.88,7.96,-14.67
11,Sun,November 22,4:05PM ET,boxscore,W,,3-7,,New York Jets,34,28,28,376,347,29,1,20,292,196,96,1,16.66,-7.52,-3.42
12,Sun,November 29,1:00PM ET,boxscore,L,,3-8,@,Buffalo Bills,17,27,24,367,291,76,1,23,332,160,172,3,4.93,-5.65,-4.65
13,Sun,December 6,4:25PM ET,boxscore,L,,3-9,,New England Patriots,0,45,17,258,188,70,2,22,291,126,165,,-16.13,-9.66,-22.19
14,Sun,December 13,4:25PM ET,boxscore,W,,4-9,,Atlanta Falcons,20,17,23,345,240,105,1,19,319,249,70,3,10.14,-5.82,-1.54
15,Thu,December 17,8:20PM ET,boxscore,W,OT,5-9,@,Las Vegas Raiders,30,27,27,402,306,96,,27,449,276,173,1,23.38,-16.83,-4.42
16,Sun,December 27,4:05PM ET,boxscore,W,,6-9,,Denver Broncos,19,16,16,316,227,89,,23,396,263,133,2,1.63,-4.25,4.44
17,Sun,January 3,4:25PM ET,boxscore,W,,7-9,@,Kansas City Chiefs,38,21,29,416,281,135,,18,268,217,51,1,25.49,-10.71,3.07
