Player URL,Position,First Name,Last Name,Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2003,21,DAL,TE,82,15,7,54,35,347,9.9,1,18,50.0,36,2.3,23.1,64.8%,6.4,,,0,,,,,,,35,9.9,347,1,0,2,
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2004*,22,DAL,TE,82,16,15,122,87,980,11.3,6,45,54.9,42,5.4,61.3,71.3%,8.0,,,0,,,,,,,87,11.3,980,6,2,8,PB
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2005*,23,DAL,TE,82,16,16,89,66,757,11.5,6,41,60.7,34,4.1,47.3,74.2%,8.5,,,0,,,,,,,66,11.5,757,6,0,7,PB
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2006*,24,DAL,TE,82,16,15,90,64,754,11.8,1,37,58.9,42,4.0,47.1,71.1%,8.4,,,0,,,,,,,64,11.8,754,1,0,8,PB
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2007*+,25,DAL,TE,82,16,16,141,96,1145,11.9,7,56,58.2,53,6.0,71.6,68.1%,8.1,,,0,,,,,,,96,11.9,1145,7,1,12,"AP1, PB"
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2008*,26,DAL,TE,82,16,16,121,81,952,11.8,4,49,54.5,42,5.1,59.5,66.9%,7.9,,,0,,,,,,,81,11.8,952,4,0,8,"AP2, PB"
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2009*,27,DAL,TE,82,16,16,124,94,1030,11.0,2,49,58.9,69,5.9,64.4,75.8%,8.3,,,0,,,,,,,94,11.0,1030,2,0,9,PB
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2010*+,28,DAL,TE,82,16,16,128,94,1002,10.7,9,42,53.9,33,5.9,62.6,73.4%,7.8,,,0,,,,,,,94,10.7,1002,9,1,9,"AP1, PB"
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2011,29,DAL,TE,82,16,16,117,79,942,11.9,5,47,51.3,64,4.9,58.9,67.5%,8.1,,,0,,,,,,,79,11.9,942,5,1,8,
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2012*,30,DAL,TE,82,16,16,147,110,1039,9.4,3,56,65.3,36,6.9,64.9,74.8%,7.1,,,0,,,,,,,110,9.4,1039,3,0,8,"AP2, PB"
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2013*,31,DAL,TE,82,16,16,111,73,851,11.7,8,44,55.0,34,4.6,53.2,65.8%,7.7,,,0,,,,,,,73,11.7,851,8,0,8,PB
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2014*,32,DAL,TE,82,16,16,90,64,703,11.0,5,48,58.9,34,4.0,43.9,71.1%,7.8,,,0,,,,,,,64,11.0,703,5,0,7,PB
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2015,33,DAL,TE,82,16,16,104,77,713,9.3,3,37,55.8,35,4.8,44.6,74.0%,6.9,,,0,,,,,,,77,9.3,713,3,1,4,
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2016,34,DAL,TE,82,16,16,95,69,673,9.8,3,34,51.6,35,4.3,42.1,72.6%,7.1,,,0,,,,,,,69,9.8,673,3,1,7,
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2017*,35,DAL,TE,82,16,16,87,63,560,8.9,5,26,56.3,28,3.9,35.0,72.4%,6.4,,,0,,,,,,,63,8.9,560,5,1,6,PB
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2018,,Missed season - Retired
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2019,37,DAL,TE,82,16,16,83,63,529,8.4,4,27,66.3,33,3.9,33.1,75.9%,6.4,,,0,,,,,,,63,8.4,529,4,1,4,
https://www.pro-football-reference.com/players/W/WittJa00.htm,TE,Christopher,Witten,2020,38,LVR,TE,82,16,7,17,13,69,5.3,2,8,52.9,15,0.8,4.3,76.5%,4.1,,,0,,,,,,,13,5.3,69,2,0,1,
https://www.pro-football-reference.com/players/W/WatsBe00.htm,TE,Benjamin,Watson,2004,24,NWE,TE,84,1,1,4,2,16,8.0,0,1,25.0,14,2.0,16.0,50.0%,4.0,,,0,,,,,,,2,8.0,16,0,0,0,
